encoder,dataset,K,seed,n_train,n_classes,feature_dim
resnet18,DTD,5,0.0,235,47,512
resnet18,DTD,5,1.0,235,47,512
resnet18,DTD,5,2.0,235,47,512
resnet18,DTD,10,0.0,470,47,512
resnet18,DTD,10,1.0,470,47,512
resnet18,DTD,10,2.0,470,47,512
resnet18,DTD,full,,1880,47,512
resnet18,FGVC-Aircraft,5,0.0,500,100,512
resnet18,FGVC-Aircraft,5,1.0,500,100,512
resnet18,FGVC-Aircraft,5,2.0,500,100,512
resnet18,FGVC-Aircraft,10,0.0,1000,100,512
resnet18,FGVC-Aircraft,10,1.0,1000,100,512
resnet18,FGVC-Aircraft,10,2.0,1000,100,512
resnet18,FGVC-Aircraft,full,,3334,100,512
dinov2,FGVC-Aircraft,5,0.0,500,100,384
dinov2,FGVC-Aircraft,5,1.0,500,100,384
dinov2,FGVC-Aircraft,5,2.0,500,100,384
dinov2,FGVC-Aircraft,10,0.0,1000,100,384
dinov2,FGVC-Aircraft,10,1.0,1000,100,384
dinov2,FGVC-Aircraft,10,2.0,1000,100,384
dinov2,FGVC-Aircraft,full,,3334,100,384
