key,encoder,dataset,K,seed,n_train,n_classes,dim,proto_norm_min,proto_norm_max
resnet18__DTD__K5__seed0,resnet18,DTD,5,0,235,47,512,1.0,1.0
resnet18__DTD__K5__seed1,resnet18,DTD,5,1,235,47,512,1.0,1.0
resnet18__DTD__K5__seed2,resnet18,DTD,5,2,235,47,512,1.0,1.0
resnet18__DTD__K10__seed0,resnet18,DTD,10,0,470,47,512,1.0,1.0
resnet18__DTD__K10__seed1,resnet18,DTD,10,1,470,47,512,1.0,1.0
resnet18__DTD__K10__seed2,resnet18,DTD,10,2,470,47,512,1.0,1.0
resnet18__DTD__Kfull__seedNA,resnet18,DTD,full,NA,1880,47,512,1.0,1.0
resnet18__FGVC-Aircraft__K5__seed0,resnet18,FGVC-Aircraft,5,0,500,100,512,1.0,1.0
resnet18__FGVC-Aircraft__K5__seed1,resnet18,FGVC-Aircraft,5,1,500,100,512,1.0,1.0
resnet18__FGVC-Aircraft__K5__seed2,resnet18,FGVC-Aircraft,5,2,500,100,512,1.0,1.0
resnet18__FGVC-Aircraft__K10__seed0,resnet18,FGVC-Aircraft,10,0,1000,100,512,1.0,1.0
resnet18__FGVC-Aircraft__K10__seed1,resnet18,FGVC-Aircraft,10,1,1000,100,512,1.0,1.0
resnet18__FGVC-Aircraft__K10__seed2,resnet18,FGVC-Aircraft,10,2,1000,100,512,1.0,1.0
resnet18__FGVC-Aircraft__Kfull__seedNA,resnet18,FGVC-Aircraft,full,NA,3334,100,512,1.0,1.0
dinov2__FGVC-Aircraft__K5__seed0,dinov2,FGVC-Aircraft,5,0,500,100,384,1.0,1.0
dinov2__FGVC-Aircraft__K5__seed1,dinov2,FGVC-Aircraft,5,1,500,100,384,1.0,1.0
dinov2__FGVC-Aircraft__K5__seed2,dinov2,FGVC-Aircraft,5,2,500,100,384,1.0,1.0
dinov2__FGVC-Aircraft__K10__seed0,dinov2,FGVC-Aircraft,10,0,1000,100,384,1.0,1.0
dinov2__FGVC-Aircraft__K10__seed1,dinov2,FGVC-Aircraft,10,1,1000,100,384,1.0,1.0
dinov2__FGVC-Aircraft__K10__seed2,dinov2,FGVC-Aircraft,10,2,1000,100,384,1.0,1.0
dinov2__FGVC-Aircraft__Kfull__seedNA,dinov2,FGVC-Aircraft,full,NA,3334,100,384,1.0,1.0
